task_id,mechanism_class,data_seed,strategy,selected_proposal_id,selected_source_labels,selected_formula,validation_rmse,locked_rmse,baseline_locked_rmse,normalized_locked_rmse,complexity,stability_violations,corrected_behavior_recovered,acquisitions_used,initial_gate_triggered,final_ambiguity_class,final_equivalent_candidate_count,final_equivalent_candidate_ids,final_normalized_maximum_pairwise_rmse,ambiguity_resolved_or_prediction_equivalent,further_active_query_indicated,recommended_query,stop_reason
XFER-CYCLIC-01,cyclic_damage,2079297989,no_acquisition,portfolio_5564c077b997f020,semantic_llm,M_base(x) + (a * ((x1 * x2) ^ b)),0.0015276310236464865,0.005683793820356356,0.03498058793637729,0.16248422784356978,7,0,False,0,True,structurally_ambiguous,3,"[""portfolio_5564c077b997f020"", ""portfolio_051605aaaff8eac3"", ""portfolio_7bf4d54baee679ae""]",3.8768480807630077,False,True,"{""x1"": 2.152954727131442, ""x2"": 0.740274930230687}",maximum_active_budget_reached
XFER-CYCLIC-01,cyclic_damage,2079297989,conditional_space_filling,portfolio_5564c077b997f020,semantic_llm,M_base(x) + (a * ((x1 * x2) ^ b)),0.0014376408538926706,0.003764471833172996,0.03498058793637729,0.10761602520860482,7,0,True,3,True,prediction_equivalent,3,"[""portfolio_5564c077b997f020"", ""portfolio_051605aaaff8eac3"", ""portfolio_7bf4d54baee679ae""]",1.8724429909974656,True,False,{},maximum_active_budget_reached
XFER-CYCLIC-01,cyclic_damage,2079297989,evidence_guided_predictive_disagreement,portfolio_5564c077b997f020,semantic_llm,M_base(x) + (a * ((x1 * x2) ^ b)),0.0014556017795156432,0.003847480435753647,0.03498058793637729,0.10998901570069224,7,0,True,3,True,structurally_ambiguous,3,"[""portfolio_5564c077b997f020"", ""portfolio_051605aaaff8eac3"", ""portfolio_7bf4d54baee679ae""]",2.7036662207099575,False,True,"{""x1"": 2.1689775642371054, ""x2"": 0.6609383887104087}",maximum_active_budget_reached
XFER-THERMAL-01,thermal_damage,2079297989,no_acquisition,portfolio_8df6a0e6858f08a8,pysr,M_base(x) + sin((x1 * x1 * pysr_coefficient_1 * (exp(tanh(x2)) ^ -1))),0.005355311303253219,0.006153650933377023,0.16807672855630407,0.03661215318880752,10,0,True,0,True,structurally_ambiguous,2,"[""portfolio_8df6a0e6858f08a8"", ""portfolio_630d5904afe806fb""]",2.0113043344056263,False,True,"{""x1"": 1.3552229261312234, ""x2"": 0.0635397703167819}",maximum_active_budget_reached
XFER-THERMAL-01,thermal_damage,2079297989,conditional_space_filling,portfolio_8df6a0e6858f08a8,pysr,M_base(x) + sin((x1 * x1 * pysr_coefficient_1 * (exp(tanh(x2)) ^ -1))),0.005350783493471567,0.006028389156483666,0.16807672855630407,0.035866887749806564,10,0,True,3,True,structurally_ambiguous,3,"[""portfolio_8df6a0e6858f08a8"", ""portfolio_2b8be90cc5c00bc6"", ""portfolio_630d5904afe806fb""]",2.0381137906234543,False,True,"{""x1"": 1.3552229261312234, ""x2"": 0.0635397703167819}",maximum_active_budget_reached
XFER-THERMAL-01,thermal_damage,2079297989,evidence_guided_predictive_disagreement,portfolio_8df6a0e6858f08a8,pysr,M_base(x) + sin((x1 * x1 * pysr_coefficient_1 * (exp(tanh(x2)) ^ -1))),0.005442475949124343,0.006772227415376687,0.16807672855630407,0.040292475190032366,10,0,True,3,True,structurally_ambiguous,3,"[""portfolio_8df6a0e6858f08a8"", ""portfolio_2b8be90cc5c00bc6"", ""portfolio_630d5904afe806fb""]",2.09498594116028,False,True,"{""x1"": 1.3997476104641362, ""x2"": 0.1644484785436498}",maximum_active_budget_reached
XFER-CREEP-01,creep,1812275758,no_acquisition,portfolio_3d9b72639aa77fc8,semantic_llm,M_base(x) + ((a9 * x1 * x2) / (1 + (a10 * x1))),0.0020236373289707625,0.019434099593668184,0.19272903642889852,0.1008363864302191,10,0,False,0,False,prediction_equivalent,2,"[""portfolio_3d9b72639aa77fc8"", ""portfolio_f643ff0fb734348e""]",0.43986417408009065,False,False,{},equivalent_candidates_predict_similarly
XFER-CREEP-01,creep,1812275758,conditional_space_filling,portfolio_3d9b72639aa77fc8,semantic_llm,M_base(x) + ((a9 * x1 * x2) / (1 + (a10 * x1))),0.0020236373289707625,0.019434099593668184,0.19272903642889852,0.1008363864302191,10,0,False,0,False,prediction_equivalent,2,"[""portfolio_3d9b72639aa77fc8"", ""portfolio_f643ff0fb734348e""]",0.43986417408009065,False,False,{},equivalent_candidates_predict_similarly
XFER-CREEP-01,creep,1812275758,evidence_guided_predictive_disagreement,portfolio_3d9b72639aa77fc8,semantic_llm,M_base(x) + ((a9 * x1 * x2) / (1 + (a10 * x1))),0.0020236373289707625,0.019434099593668184,0.19272903642889852,0.1008363864302191,10,0,False,0,False,prediction_equivalent,2,"[""portfolio_3d9b72639aa77fc8"", ""portfolio_f643ff0fb734348e""]",0.43986417408009065,False,False,{},equivalent_candidates_predict_similarly
XFER-PERM-01,permeability,1812275758,no_acquisition,portfolio_852a841ffca37304,semantic_llm,M_base(x) * (1 / (1 + (d * x1))),0.006842389271908564,0.0150813431189746,0.25914395647061156,0.05819677728307321,7,0,True,0,True,prediction_equivalent,3,"[""portfolio_852a841ffca37304"", ""portfolio_471f9c66b5870d68"", ""portfolio_d3873358cb6cea01""]",1.815536587584527,True,False,{},maximum_active_budget_reached
XFER-PERM-01,permeability,1812275758,conditional_space_filling,portfolio_7678adda9fbd4640,pysr,M_base(x) + (tanh(sin(x1)) * pysr_coefficient_1),0.006790908839977938,0.039334043319716336,0.25914395647061156,0.15178452878246862,5,0,False,3,True,structurally_ambiguous,3,"[""portfolio_7678adda9fbd4640"", ""portfolio_18ffeb24f59802cd"", ""portfolio_852a841ffca37304""]",8.211242588307057,False,True,"{""x1"": 2.195372199548007}",maximum_active_budget_reached
XFER-PERM-01,permeability,1812275758,evidence_guided_predictive_disagreement,portfolio_852a841ffca37304,semantic_llm,M_base(x) * (1 / (1 + (d * x1))),0.007118167922574753,0.013202047146714795,0.25914395647061156,0.050944839025069,7,0,True,3,True,structurally_ambiguous,3,"[""portfolio_852a841ffca37304"", ""portfolio_18ffeb24f59802cd"", ""portfolio_fade7584c7add05e""]",3.549314906386834,False,True,"{""x1"": 2.1862637737721595}",maximum_active_budget_reached
XFER-CYCLIC-01,cyclic_damage,1812275758,no_acquisition,portfolio_ed599e3623e40921,pysr,M_base(x) + (x2 * (x1 ^ 1.54216) * x2 * pysr_coefficient_1),0.0017840494288000014,0.007851721585844426,0.03751406599706515,0.20930073499520666,7,0,False,0,True,structurally_ambiguous,3,"[""portfolio_ed599e3623e40921"", ""portfolio_051605aaaff8eac3"", ""portfolio_93488e518fc34807""]",12.954199563136841,False,True,"{""x1"": 2.1236697549333843, ""x2"": 1.087439007184292}",maximum_active_budget_reached
XFER-CYCLIC-01,cyclic_damage,1812275758,conditional_space_filling,portfolio_ed599e3623e40921,pysr,M_base(x) + (x2 * (x1 ^ 1.54216) * x2 * pysr_coefficient_1),0.0018110341431963855,0.0019278763833282335,0.03751406599706515,0.05139076056109347,7,0,True,1,True,prediction_equivalent,2,"[""portfolio_ed599e3623e40921"", ""portfolio_051605aaaff8eac3""]",1.4968603927539428,True,False,{},equivalent_candidates_predict_similarly
XFER-CYCLIC-01,cyclic_damage,1812275758,evidence_guided_predictive_disagreement,portfolio_ed599e3623e40921,pysr,M_base(x) + (x2 * (x1 ^ 1.54216) * x2 * pysr_coefficient_1),0.0018110341431963855,0.0019278763833282335,0.03751406599706515,0.05139076056109347,7,0,True,1,True,prediction_equivalent,2,"[""portfolio_ed599e3623e40921"", ""portfolio_051605aaaff8eac3""]",1.4968603927539428,True,False,{},equivalent_candidates_predict_similarly
XFER-THERMAL-01,thermal_damage,1812275758,no_acquisition,portfolio_1b44b356107beed0,pysr,M_base(x) + (x1 * x1 * pysr_coefficient_1 * ((exp(x2) ^ x1) ^ -1)),0.006835528564284535,0.06297144875332625,0.1836106622739481,0.34296183006721315,10,0,False,0,True,structurally_ambiguous,3,"[""portfolio_1b44b356107beed0"", ""portfolio_31a6655e13fbff58"", ""portfolio_47a8d49b75be23f6""]",8.849473075094211,False,True,"{""x1"": 1.3719475779646926, ""x2"": 1.219877783878373}",maximum_active_budget_reached
XFER-THERMAL-01,thermal_damage,1812275758,conditional_space_filling,portfolio_ea8b2e1686a96117,pysr,M_base(x) + (x1 * pysr_coefficient_1 * x1 * (exp(x2) ^ -1)),0.00798633448620816,0.031215711821931374,0.1836106622739481,0.1700103438184726,8,0,False,3,True,structurally_ambiguous,3,"[""portfolio_ea8b2e1686a96117"", ""portfolio_31a6655e13fbff58"", ""portfolio_47a8d49b75be23f6""]",6.838061445532344,False,True,"{""x1"": 1.3695305334969083, ""x2"": 0.11289381047229058}",maximum_active_budget_reached
XFER-THERMAL-01,thermal_damage,1812275758,evidence_guided_predictive_disagreement,portfolio_0381c7bec88c1b5a,semantic_llm,M_base(x) + (p1 * (x1 ^ 2)),0.0090739620337925,0.045268794374370085,0.1836106622739481,0.24654774299996152,5,0,False,3,True,structurally_ambiguous,3,"[""portfolio_0381c7bec88c1b5a"", ""portfolio_31a6655e13fbff58"", ""portfolio_f23ac452c1a9d348""]",8.150392148410019,False,True,"{""x1"": 1.265459553348989, ""x2"": 0.04232102158605297}",maximum_active_budget_reached
XFER-CREEP-01,creep,3756040860,no_acquisition,portfolio_52cdebd74f960e16,semantic_llm,M_base(x) + (p0 * (x1 ^ p1) * x2),0.005409028350309508,0.07498568358112945,0.19396490275199182,0.38659408231708775,6,0,False,0,False,identified_singleton,1,"[""portfolio_52cdebd74f960e16""]",0.0,False,False,{},insufficient_validation_equivalent_candidates
XFER-CREEP-01,creep,3756040860,conditional_space_filling,portfolio_52cdebd74f960e16,semantic_llm,M_base(x) + (p0 * (x1 ^ p1) * x2),0.005409028350309508,0.07498568358112945,0.19396490275199182,0.38659408231708775,6,0,False,0,False,identified_singleton,1,"[""portfolio_52cdebd74f960e16""]",0.0,False,False,{},insufficient_validation_equivalent_candidates
XFER-CREEP-01,creep,3756040860,evidence_guided_predictive_disagreement,portfolio_52cdebd74f960e16,semantic_llm,M_base(x) + (p0 * (x1 ^ p1) * x2),0.005409028350309508,0.07498568358112945,0.19396490275199182,0.38659408231708775,6,0,False,0,False,identified_singleton,1,"[""portfolio_52cdebd74f960e16""]",0.0,False,False,{},insufficient_validation_equivalent_candidates
XFER-PERM-01,permeability,3756040860,no_acquisition,portfolio_e3f3928894723545,pysr,M_base(x) + (sin((x1 ^ 0.858697)) * pysr_coefficient_1),0.006507052231559561,0.020585410857533445,0.2573518148180189,0.07998937513648388,6,0,False,0,True,prediction_equivalent,3,"[""portfolio_e3f3928894723545"", ""portfolio_a52c7bcc5b6ed1e1"", ""portfolio_d5bbbb111836e2d0""]",0.5663545260058297,True,False,{},maximum_active_budget_reached
XFER-PERM-01,permeability,3756040860,conditional_space_filling,portfolio_55f7623db32b555b,pysr,M_base(x) + (tanh((x1 ^ 0.69893)) * (x1 ^ 0.206886) * pysr_coefficient_1),0.00647347150889029,0.01101857369430627,0.2573518148180189,0.042815216601825135,9,0,True,3,True,prediction_equivalent,3,"[""portfolio_55f7623db32b555b"", ""portfolio_25984bef9d12a1de"", ""portfolio_55d577100b0b2853""]",1.5384170265779131,True,False,{},maximum_active_budget_reached
XFER-PERM-01,permeability,3756040860,evidence_guided_predictive_disagreement,portfolio_55f7623db32b555b,pysr,M_base(x) + (tanh((x1 ^ 0.69893)) * (x1 ^ 0.206886) * pysr_coefficient_1),0.006495664886384152,0.010058703545333766,0.2573518148180189,0.03908541912730079,9,0,True,3,True,prediction_equivalent,3,"[""portfolio_55f7623db32b555b"", ""portfolio_25984bef9d12a1de"", ""portfolio_55d577100b0b2853""]",1.3809043170353805,True,False,{},maximum_active_budget_reached
XFER-CYCLIC-01,cyclic_damage,3756040860,no_acquisition,portfolio_0740b27fbf634982,semantic_llm,M_base(x) + (a * (x1 ^ b) * x2),0.0016670024505306843,0.010753310387664201,0.03371808762486044,0.31891815773489346,6,0,False,0,True,structurally_ambiguous,3,"[""portfolio_0740b27fbf634982"", ""portfolio_5564c077b997f020"", ""portfolio_8b005e95bb1aa73f""]",10.595377969109208,False,True,"{""x1"": 2.180237999486366, ""x2"": 1.0933532409851618}",maximum_active_budget_reached
